Funds,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Zerodha elss tax saver nifty largemidcap 250 index fund,21.29,12.45,,,,,,,,,,,,,,,
Nj elss tax saver scheme direct growth,17.86,30.24,,,,,,,,,,,,,,,
Navi elss tax saver nifty 50 index fund,13.79,27.92,,,,,,,,,,,,,,,
IIFL elss nifty 50 tax saver index fund,13.77,20.02,,,,,,,,,,,,,,,
Samco elss tax saver fund,10.57,35.8,,,,,,,,,,,,,,,
Whiteoak capital tax saver fund direct  growth,21.02,34.57,1.18,,,,,,,,,,,,,,
Sundaram elss tax saver fund direct  growth,17.25,25.16,3.38,,,,,,,,,,,,,,
Parag parikh elss tax saver fund,18.6,28.83,6.57,37.96,30.89,8.51,,,,,,,,,,,
Mahindra manulife elss kar bachat yojana direct,18.67,27.84,3.8,41.76,17.57,8.01,-8.98,26.47,0.98,,,,,,,,
Mirae asset tax saver fund,20.27,28.34,1.34,37.15,26.72,17.19,-2.6,47.5,17.04,0.24,,,,,,,
Tata elss tax saver fund,18.63,25.43,7.17,32.06,16.01,16.9,-8.65,44.77,3.3,15.05,10.16,,,,,,
Quant tax plan,26.71,32.02,14.17,63.27,55.17,5.81,-3.66,34.07,13.19,6.81,59.24,-10.41,,,,,
Uti elss tax saver fund,17.89,25.54,-2.52,34.37,23.5,12.87,-6.35,31.65,4.37,3.79,41.68,1.28,,,,,
Icici prudential elss tax saver fund,19.5,23.96,3.06,34.64,17.57,10.28,0.52,26.22,4.95,5.09,52.06,1.98,,,,,
Axis elss tax saver fund,19.26,22.89,-11.24,25.61,22.29,16.63,1.66,37.15,0.29,8.38,68.85,10.7,,,,,
Invesco india tax plan,21.91,32.41,-6.45,34.21,22.21,12.5,-1.04,35.78,5.51,8.22,56.22,4.69,,,,,
Lic mf elss tax saver,21.31,27.57,-0.52,27.84,11.71,14.04,-1.58,36.46,3.94,-4.83,46.37,2.65,,,,,
Kotak tax saver,25.47,25.2,8.37,35.05,17.98,15.71,-3.49,33.6,8.73,2.89,57.4,-10.41,,,,,
Sbi long term equity fund,32.97,41,7.58,31.86,23.32,5.68,-8.27,31.41,2.76,4.2,49.84,1.63,,,,,
Aditya birla sun life elss tax saver fund,21.17,19.85,-0.64,13.64,17.75,6.72,-4.66,44.21,4.34,10.07,55.63,2.54,,,,,
Oi axa tax advantage fund,25.92,36.22,-0.09,42.9,34.32,17.01,-17.3,56.88,0.09,3.82,45.42,3.56,,,,,
Union tax saver (elss) fund,17.4,27.51,2.42,37.88,23.81,11.78,-5.87,25.54,-0.47,-2.15,44.73,2.98,,,,,
Dsp tax saver fund,25.84,31.19,5.52,36.42,18.22,17.83,-7.67,37.29,12.55,4.93,52.97,0.14,,,,,
Hdfc taxsaver fund,22.8,34.02,11.14,36.05,9.45,5.74,-10.82,37.45,8.82,-5.74,57.17,0.05,,,,,
Taurus tax shield,17.19,29.56,7.31,20.95,14.62,7.88,-0.56,36.38,4.55,3.43,35.65,-7.98,,,,,
Nippon india tax saver fund,22.74,29.48,7.71,38.57,3.76,3.35,-21.03,44.95,5.28,-2.45,84.36,-4.31,,,,,
Edelweiss elss tax saver fund,21.36,28.87,1.65,32.58,17.47,13.1,-9.19,37.36,-0.5,7.74,41.01,7.03,,,,,
Franklin india taxshield,22.29,32.36,6.27,37.85,12.52,7.43,-2.95,29.54,5.52,4.69,58.07,0.81,,,,,
Bandhan elss tax saver fund,19.99,29.77,5.45,50.87,21.92,4.15,-9.41,51.95,0.97,8.7,44.01,6.14,,,,,
Canara robeco elss tax saver,19.19,25.19,1.21,36.81,29.72,13.62,2.48,31.58,0.49,1.24,45.83,-0.5,,,,,
Quantum elss tax saver fund,21.43,27.6,7.74,25.14,16.22,0.41,-1.04,21.63,12.58,3.09,40.02,2.05,31.36,-20.91,28.17,87.07,
