Funds,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Bank of india flexi cap fund direct,17.71,38.67,0.77,48.52,38.54,,,,,,,
Parag parikh long term equity fund,9.43,38.14,-6.29,46.97,33.54,15.43,0.16,30.04,3.86,9.52,45.49,11.56
Invesco india flexi cap fund,11.16,35.22,6.8,,,,,,,,,
Nippon india flexi cap fund,5.2,34.05,0.74,7.9,,,,,,,,
Dsp flexi cap fund,4.12,33.17,-3.45,33.87,19.97,17.85,-6.79,41.07,4.78,-0.13,53.86,-1.33
Whiteoak capital flexi cap fund direct,6.8,32.89,4.93,,,,,,,,,
Mahindra manulife flexi cap fund,7.88,32.88,3.49,2.88,,,,,,,,
Franklin india flexi cap fund,9.24,31.13,6.1,41.31,16.85,3.68,-3.42,31.14,6.16,5.51,58.03,5.62
Edelweiss flexi cap fund,10.27,31.05,2.44,37.07,16.43,10.34,-3.64,45.64,-0.67,,,
Hdfc flexi cap fund,10.14,30.89,19.08,37,7.04,7.04,-2.63,37.4,8.16,-4.31,54.86,3.3
Mirae asset flexi cap fund,6.15,30.28,,,,,,,,,,
Tata flexi cap fund,4.61,29.3,-2.16,28.33,16.49,12.72,2.31,,,,,
Icici prudential flexicap fund,10.52,28.67,10.38,7.9,,,,,,,,
Shriram flexi cap fund,10.73,28.64,4.23,22.64,14.52,8.16,3.65,,,,,
Samco flexi cap fund,-0.59,27.82,-5.21,,,,,,,,,
Aditya birla sun life flexi cap fund,8.03,26.49,-0.27,31.37,17.11,8.81,-3.02,33.33,16.24,3.88,58.03,5.95
Navi flexi cap fund,3.01,26.14,2.48,35.43,10.96,15.15,0.11,,,,,
Sundaram flexicap fund direct growth,4.28,25.7,0.82,,,,,,,,,
Bandhan flexi cap fund,7.07,25.21,-0.68,33.15,10.6,8.24,-8.05,37.21,-1.97,8.96,60.11,5.23
Kotak flexicap fund,8.67,24.78,5.98,26.59,12.89,15.02,0.16,34.29,10.74,3.95,59.06,5
Sbi flexicap fund,6.11,24.59,1.61,32.06,14.67,11.65,-4.43,36.84,6.95,10.56,56.91,3.87
Canara robeco flexi cap fund,6.67,23.77,-0.34,34.4,23.87,13.31,1.55,37.05,-1.38,0.66,40.37,3.23
Nj flexi cap fund,8.63,20.98,,,,,,,,,,
Axis flexi cap fund,8.16,20.7,-7.62,29.93,21.08,18.64,8.84,1.7,,,,
Uti,-1.31,20.53,-12.68,35,32.45,12.13,5.41,30.23,1.59,1.34,47.22,6.69
360 one flexicap fund,10.37,18.78,,,,,,,,,,
Bajaj finserv flexi cap fund,11.64,10.84,,,,,,,,,,
Helios flexi cap fund,13.01,9,,,,,,,,,,
