Funds,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Motilal oswal large cap direct  growth,22.79,,,,,,,,,,,
Whiteoak capital large cap fund direct  growth,20.34,25.35,-3.55,,,,,,,,,
Quant large cap fund,25.08,28.91,1.87,,,,,,,,,
Bank of india bluechip fund direct  growth,19.32,31.1,-1.88,11.51,,,,,,,,
Sundaram large cap fund (formerly known as sundaram blue chip fund)direct,14.77,22.75,5.49,30.18,16.55,,,,,,,
Mahindra manulife large cap fund,20.63,24,3.88,32,13.97,10.05,,,,,,
Union largecap fund,15.04,23.25,0.23,30.04,15.71,12.98,-4.46,6.76,,,,
Pgim india large cap fund,13.06,21.48,2.99,22.81,15.01,15.42,-2.12,29.82,9.46,,,
Uti large cap fund,15.72,21.85,-0.9,30.75,19.8,11.66,0.51,29.18,4.18,,43.85,5.18
Icici prudential bluechip fund,20.64,28.13,7.53,29.97,14.2,11.01,0.21,33.17,8.81,0.79,42.18,9.35
Axis bluechip fund,16.04,18.53,-4.61,22.11,21.19,19.77,8.05,38.94,-2.64,-0.26,42.67,12.88
Invesco india largecap fund,21.14,29.62,-1.54,34.42,15.41,12.65,1.37,29.84,4.53,6.52,41.45,8.58
Lic mf large cap fund,18.78,18.05,-0.43,25.67,15.02,16.17,1.89,27.2,3.21,-2.76,38.56,5.76
Kotak bluechip fund,19.95,24.44,3.29,29.3,17.72,16.99,-0.96,29.87,4.34,5.05,43.4,3.34
Sbi blue chip fund,15.81,23.5,5.11,27.05,17.23,12.91,-3.11,30.25,6.11,8.98,48.73,6.52
Aditya birla sun life frontline equity fund,19.26,23.9,4.24,28.76,15.01,8.66,-2,31.01,8.49,2.01,46.04,8.45
Dsp top 100 equity fund,22.21,27.61,2.24,20.45,8.35,16.2,-2.05,27.37,5.63,-1.76,38.23,0.27
Tata large cap fund,19.72,25.74,4.47,33.7,9.22,13.37,-2.17,30.95,4.62,3,37.02,7.33
Hdfc top 100 fund,17.24,30.78,11.28,29.28,6.54,8.63,0.92,32.14,9.3,-5.48,47.37,3.72
Nippon india large cap fund,21.69,33.23,12.3,33.43,5.85,8.62,0.87,38.88,3.43,1.85,55.7,3.37
Edelweiss large cap fund,19.97,27.64,5.02,25.16,19.28,14.21,2.5,33.87,1.16,1.51,38.24,9.65
Franklin india bluechip fund,18.2,24.23,-1.49,33.72,14.51,7.08,-2.74,26.67,7.36,2.91,38.34,4.02
Bandhan large cap fund,21.14,28.33,-1.07,28.29,18.66,11.9,-3.34,34.5,7.25,-4.17,31.04,7.42
Canara robeco bluechip equity fund,19.13,23.74,2.29,26.51,24.85,17.7,4.55,31.52,2.99,0.64,36.59,4.31
